date,open,high,low,close,volume,adjustment,source,source_retrieved_kst
2026-08-10,4850,5260,4830,5020,1630000,unadjusted,Investing.com,2026-09-09T15:44:15+09:00
2026-08-11,4970,4970,4600,4900,764030,unadjusted,Investing.com,2026-09-09T15:44:15+09:00
2026-08-12,5030,5240,4785,5140,1010000,unadjusted,Investing.com,2026-09-09T15:44:15+09:00
2026-08-13,5270,5340,5010,5050,803950,unadjusted,Investing.com,2026-09-09T15:44:15+09:00
2026-08-14,5100,5150,4760,4905,465170,unadjusted,Investing.com,2026-09-09T15:44:15+09:00
2026-08-18,4960,4980,4600,4605,371370,unadjusted,Investing.com,2026-09-09T15:44:15+09:00
2026-08-19,4425,4670,4295,4460,236820,unadjusted,Investing.com,2026-09-09T15:44:15+09:00
2026-08-20,4480,4600,4430,4470,239140,unadjusted,Investing.com,2026-09-09T15:44:15+09:00
2026-08-21,4450,4450,4145,4200,267210,unadjusted,Investing.com,2026-09-09T15:44:15+09:00
2026-08-24,4280,4375,4200,4280,202700,unadjusted,Investing.com,2026-09-09T15:44:15+09:00
2026-08-25,4280,4400,4075,4340,175880,unadjusted,Investing.com,2026-09-09T15:44:15+09:00
2026-08-26,4400,4490,4300,4485,241640,unadjusted,Investing.com,2026-09-09T15:44:15+09:00
2026-08-27,4500,4755,4480,4575,384790,unadjusted,Investing.com,2026-09-09T15:44:15+09:00
2026-08-28,4800,5480,4585,5110,4230000,unadjusted,Investing.com,2026-09-09T15:44:15+09:00
2026-08-31,5060,5140,4870,4955,819090,unadjusted,Investing.com,2026-09-09T15:44:15+09:00
2026-09-01,4975,5300,4785,5140,1040000,unadjusted,Investing.com,2026-09-09T15:44:15+09:00
2026-09-02,4990,5200,4860,4950,555760,unadjusted,Investing.com,2026-09-09T15:44:15+09:00
2026-09-03,5110,5110,4655,4720,551110,unadjusted,Investing.com,2026-09-09T15:44:15+09:00
2026-09-04,4720,4845,4600,4840,521580,unadjusted,Investing.com,2026-09-09T15:44:15+09:00
2026-09-07,4890,5090,4825,4855,534890,unadjusted,Investing.com,2026-09-09T15:44:15+09:00
2026-09-08,4925,5320,4870,5060,1450000,unadjusted,Investing.com,2026-09-09T15:44:15+09:00
2026-09-09,5190,6570,5110,6570,5926739,unadjusted,매일경제 마켓,2026-09-09T16:07:13+09:00
